head,name,actual2006,approved2006,revised2006,estimate2006,actual2007,approved2007,revised2007,estimate2007,actual2008,approved2008,revised2008,estimate2008,actual2009,approved2009,revised2009,estimate2009,actual2010,approved2010,revised2010,estimate2010,actual2011,approved2011,revised2011,estimate2011,actual2012,approved2012,revised2012,estimate2012,actual2013,approved2013,revised2013,estimate2013,actual2014,approved2014,revised2014,estimate2014
482,Player379,151500,151500,151500,151500,151500,151500,151500,151500,151500,151500,151500,151500,151500,151500,151500,151500,151500,151500,151500,151500,151500,151500,151500,151500,151500,151500,151500,151500,151500,151500,151500,151500,,,,
483,Player380,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,,,,
484,Player381,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,,,,
485,Player382,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,,,,
486,Player383,153500,153500,153500,153500,153500,153500,153500,153500,153500,153500,153500,153500,153500,153500,153500,153500,153500,153500,153500,153500,153500,153500,153500,153500,153500,153500,153500,153500,153500,153500,153500,153500,,,,
487,Player384,154000,154000,154000,154000,154000,154000,154000,154000,154000,154000,154000,154000,154000,154000,154000,154000,154000,154000,154000,154000,154000,154000,154000,154000,154000,154000,154000,154000,154000,154000,154000,154000,,,,
488,Player385,154500,154500,154500,154500,154500,154500,154500,154500,154500,154500,154500,154500,154500,154500,154500,154500,154500,154500,154500,154500,154500,154500,154500,154500,154500,154500,154500,154500,154500,154500,154500,154500,,,,
489,Player386,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,,,,
490,Player387,155500,155500,155500,155500,155500,155500,155500,155500,155500,155500,155500,155500,155500,155500,155500,155500,155500,155500,155500,155500,155500,155500,155500,155500,155500,155500,155500,155500,155500,155500,155500,155500,,,,
491,Player388,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,,,,
492,Player389,156500,156500,156500,156500,156500,156500,156500,156500,156500,156500,156500,156500,156500,156500,156500,156500,156500,156500,156500,156500,156500,156500,156500,156500,156500,156500,156500,156500,156500,156500,156500,156500,,,,
493,Player390,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000,157000,,,,
494,Player391,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,,,,
495,Player392,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,,,,
496,Player393,158500,158500,158500,158500,158500,158500,158500,158500,158500,158500,158500,158500,158500,158500,158500,158500,158500,158500,158500,158500,158500,158500,158500,158500,158500,158500,158500,158500,158500,158500,158500,158500,,,,
497,Player394,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,159000,,,,
498,Player395,159500,159500,159500,159500,159500,159500,159500,159500,159500,159500,159500,159500,159500,159500,159500,159500,159500,159500,159500,159500,159500,159500,159500,159500,159500,159500,159500,159500,159500,159500,159500,159500,,,,
499,Player396,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,,,,
500,Player397,160500,160500,160500,160500,160500,160500,160500,160500,160500,160500,160500,160500,160500,160500,160500,160500,160500,160500,160500,160500,160500,160500,160500,160500,160500,160500,160500,160500,160500,160500,160500,160500,,,,
501,Player398,161000,161000,161000,161000,161000,161000,161000,161000,161000,161000,161000,161000,161000,161000,161000,161000,161000,161000,161000,161000,161000,161000,161000,161000,161000,161000,161000,161000,161000,161000,161000,161000,,,,
502,Player399,161500,161500,161500,161500,161500,161500,161500,161500,161500,161500,161500,161500,161500,161500,161500,161500,161500,161500,161500,161500,161500,161500,161500,161500,161500,161500,161500,161500,161500,161500,161500,161500,,,,
503,Player400,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,,,,
504,Player401,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,,,,
505,Player402,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000,,,,
506,Player403,163500,163500,163500,163500,163500,163500,163500,163500,163500,163500,163500,163500,163500,163500,163500,163500,163500,163500,163500,163500,163500,163500,163500,163500,163500,163500,163500,163500,163500,163500,163500,163500,,,,
507,Player404,164000,164000,164000,164000,164000,164000,164000,164000,164000,164000,164000,164000,164000,164000,164000,164000,164000,164000,164000,164000,164000,164000,164000,164000,164000,164000,164000,164000,164000,164000,164000,164000,,,,
508,Player405,164500,164500,164500,164500,164500,164500,164500,164500,164500,164500,164500,164500,164500,164500,164500,164500,164500,164500,164500,164500,164500,164500,164500,164500,164500,164500,164500,164500,164500,164500,164500,164500,,,,
509,Player406,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,,,,
510,Player407,165500,165500,165500,165500,165500,165500,165500,165500,165500,165500,165500,165500,165500,165500,165500,165500,165500,165500,165500,165500,165500,165500,165500,165500,165500,165500,165500,165500,165500,165500,165500,165500,,,,
511,Player408,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,166000,,,,
512,Player409,166500,166500,166500,166500,166500,166500,166500,166500,166500,166500,166500,166500,166500,166500,166500,166500,166500,166500,166500,166500,166500,166500,166500,166500,166500,166500,166500,166500,166500,166500,166500,166500,,,,
513,Player410,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,,,,
514,Player411,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,,,,
515,Player412,168000,168000,168000,168000,168000,168000,168000,168000,168000,168000,168000,168000,168000,168000,168000,168000,168000,168000,168000,168000,168000,168000,168000,168000,168000,168000,168000,168000,168000,168000,168000,168000,,,,
516,Player413,168500,168500,168500,168500,168500,168500,168500,168500,168500,168500,168500,168500,168500,168500,168500,168500,168500,168500,168500,168500,168500,168500,168500,168500,168500,168500,168500,168500,168500,168500,168500,168500,,,,
517,Player414,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,,,,
518,Player415,169500,169500,169500,169500,169500,169500,169500,169500,169500,169500,169500,169500,169500,169500,169500,169500,169500,169500,169500,169500,169500,169500,169500,169500,169500,169500,169500,169500,169500,169500,169500,169500,,,,
519,Player416,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,,,,
520,Player417,170500,170500,170500,170500,170500,170500,170500,170500,170500,170500,170500,170500,170500,170500,170500,170500,170500,170500,170500,170500,170500,170500,170500,170500,170500,170500,170500,170500,170500,170500,170500,170500,,,,
521,Player418,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,,,,
522,Player419,171500,171500,171500,171500,171500,171500,171500,171500,171500,171500,171500,171500,171500,171500,171500,171500,171500,171500,171500,171500,171500,171500,171500,171500,171500,171500,171500,171500,171500,171500,171500,171500,,,,
523,Player420,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,,,,
524,Player421,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,,,,
525,Player422,173000,173000,173000,173000,173000,173000,173000,173000,173000,173000,173000,173000,173000,173000,173000,173000,173000,173000,173000,173000,173000,173000,173000,173000,173000,173000,173000,173000,173000,173000,173000,173000,,,,
526,Player423,173500,173500,173500,173500,173500,173500,173500,173500,173500,173500,173500,173500,173500,173500,173500,173500,173500,173500,173500,173500,173500,173500,173500,173500,173500,173500,173500,173500,173500,173500,173500,173500,,,,
527,Player424,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,,,,
528,Player425,174500,174500,174500,174500,174500,174500,174500,174500,174500,174500,174500,174500,174500,174500,174500,174500,174500,174500,174500,174500,174500,174500,174500,174500,174500,174500,174500,174500,174500,174500,174500,174500,,,,
529,Player426,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,,,,
530,Player427,175500,175500,175500,175500,175500,175500,175500,175500,175500,175500,175500,175500,175500,175500,175500,175500,175500,175500,175500,175500,175500,175500,175500,175500,175500,175500,175500,175500,175500,175500,175500,175500,,,,
531,Player428,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000,,,,
532,Player429,176500,176500,176500,176500,176500,176500,176500,176500,176500,176500,176500,176500,176500,176500,176500,176500,176500,176500,176500,176500,176500,176500,176500,176500,176500,176500,176500,176500,176500,176500,176500,176500,,,,
533,Player430,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,,,,
534,Player431,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,,,,
535,Player432,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,,,,
536,Player433,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,,,,
537,Player434,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,,,,
538,Player435,179500,179500,179500,179500,179500,179500,179500,179500,179500,179500,179500,179500,179500,179500,179500,179500,179500,179500,179500,179500,179500,179500,179500,179500,179500,179500,179500,179500,179500,179500,179500,179500,,,,
539,Player436,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,,,,
540,Player437,180500,180500,180500,180500,180500,180500,180500,180500,180500,180500,180500,180500,180500,180500,180500,180500,180500,180500,180500,180500,180500,180500,180500,180500,180500,180500,180500,180500,180500,180500,180500,180500,,,,
541,Player438,181000,181000,181000,181000,181000,181000,181000,181000,181000,181000,181000,181000,181000,181000,181000,181000,181000,181000,181000,181000,181000,181000,181000,181000,181000,181000,181000,181000,181000,181000,181000,181000,,,,
542,Player439,181500,181500,181500,181500,181500,181500,181500,181500,181500,181500,181500,181500,181500,181500,181500,181500,181500,181500,181500,181500,181500,181500,181500,181500,181500,181500,181500,181500,181500,181500,181500,181500,,,,
543,Player440,182000,182000,182000,182000,182000,182000,182000,182000,182000,182000,182000,182000,182000,182000,182000,182000,182000,182000,182000,182000,182000,182000,182000,182000,182000,182000,182000,182000,182000,182000,182000,182000,,,,
544,Player441,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,,,,
545,Player442,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,183000,,,,
546,Player443,183500,183500,183500,183500,183500,183500,183500,183500,183500,183500,183500,183500,183500,183500,183500,183500,183500,183500,183500,183500,183500,183500,183500,183500,183500,183500,183500,183500,183500,183500,183500,183500,,,,
547,Player444,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,184000,,,,
548,Player445,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,,,,
549,Player446,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,,,,
550,Player447,185500,185500,185500,185500,185500,185500,185500,185500,185500,185500,185500,185500,185500,185500,185500,185500,185500,185500,185500,185500,185500,185500,185500,185500,185500,185500,185500,185500,185500,185500,185500,185500,,,,
551,Player448,186000,186000,186000,186000,186000,186000,186000,186000,186000,186000,186000,186000,186000,186000,186000,186000,186000,186000,186000,186000,186000,186000,186000,186000,186000,186000,186000,186000,186000,186000,186000,186000,,,,
552,Player449,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,,,,
553,Player450,187000,187000,187000,187000,187000,187000,187000,187000,187000,187000,187000,187000,187000,187000,187000,187000,187000,187000,187000,187000,187000,187000,187000,187000,187000,187000,187000,187000,187000,187000,187000,187000,,,,
554,Player451,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,,,,
555,Player452,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,,,,
556,Player453,188500,188500,188500,188500,188500,188500,188500,188500,188500,188500,188500,188500,188500,188500,188500,188500,188500,188500,188500,188500,188500,188500,188500,188500,188500,188500,188500,188500,188500,188500,188500,188500,,,,
557,Player454,189000,189000,189000,189000,189000,189000,189000,189000,189000,189000,189000,189000,189000,189000,189000,189000,189000,189000,189000,189000,189000,189000,189000,189000,189000,189000,189000,189000,189000,189000,189000,189000,,,,
558,Player455,189500,189500,189500,189500,189500,189500,189500,189500,189500,189500,189500,189500,189500,189500,189500,189500,189500,189500,189500,189500,189500,189500,189500,189500,189500,189500,189500,189500,189500,189500,189500,189500,,,,
559,Player456,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,,,,
560,Player457,190500,190500,190500,190500,190500,190500,190500,190500,190500,190500,190500,190500,190500,190500,190500,190500,190500,190500,190500,190500,190500,190500,190500,190500,190500,190500,190500,190500,190500,190500,190500,190500,,,,
561,Player458,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,,,,
562,Player459,191500,191500,191500,191500,191500,191500,191500,191500,191500,191500,191500,191500,191500,191500,191500,191500,191500,191500,191500,191500,191500,191500,191500,191500,191500,191500,191500,191500,191500,191500,191500,191500,,,,
563,Player460,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,192000,,,,
564,Player461,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,,,,
565,Player462,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,,,,
566,Player463,193500,193500,193500,193500,193500,193500,193500,193500,193500,193500,193500,193500,193500,193500,193500,193500,193500,193500,193500,193500,193500,193500,193500,193500,193500,193500,193500,193500,193500,193500,193500,193500,,,,
567,Player464,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000,,,,
568,Player465,194500,194500,194500,194500,194500,194500,194500,194500,194500,194500,194500,194500,194500,194500,194500,194500,194500,194500,194500,194500,194500,194500,194500,194500,194500,194500,194500,194500,194500,194500,194500,194500,,,,
569,Player466,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,,,,
570,Player467,195500,195500,195500,195500,195500,195500,195500,195500,195500,195500,195500,195500,195500,195500,195500,195500,195500,195500,195500,195500,195500,195500,195500,195500,195500,195500,195500,195500,195500,195500,195500,195500,,,,
571,Player468,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,,,,
572,Player469,196500,196500,196500,196500,196500,196500,196500,196500,196500,196500,196500,196500,196500,196500,196500,196500,196500,196500,196500,196500,196500,196500,196500,196500,196500,196500,196500,196500,196500,196500,196500,196500,,,,
573,Player470,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,,,,
574,Player471,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,,,,
575,Player472,198000,198000,198000,198000,198000,198000,198000,198000,198000,198000,198000,198000,198000,198000,198000,198000,198000,198000,198000,198000,198000,198000,198000,198000,198000,198000,198000,198000,198000,198000,198000,198000,,,,
576,Player473,198500,198500,198500,198500,198500,198500,198500,198500,198500,198500,198500,198500,198500,198500,198500,198500,198500,198500,198500,198500,198500,198500,198500,198500,198500,198500,198500,198500,198500,198500,198500,198500,,,,
577,Player474,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,,,,
578,Player475,199500,199500,199500,199500,199500,199500,199500,199500,199500,199500,199500,199500,199500,199500,199500,199500,199500,199500,199500,199500,199500,199500,199500,199500,199500,199500,199500,199500,199500,199500,199500,199500,,,,
579,Player476,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,,,,
580,Player477,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,,,,
581,Player478,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,,,,
582,Player479,201500,201500,201500,201500,201500,201500,201500,201500,201500,201500,201500,201500,201500,201500,201500,201500,201500,201500,201500,201500,201500,201500,201500,201500,201500,201500,201500,201500,201500,201500,201500,201500,,,,
583,Player480,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,,,,
584,Player481,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,,,,
585,Player482,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,,,,
586,Player483,203500,203500,203500,203500,203500,203500,203500,203500,203500,203500,203500,203500,203500,203500,203500,203500,203500,203500,203500,203500,203500,203500,203500,203500,203500,203500,203500,203500,203500,203500,203500,203500,,,,
587,Player484,204000,204000,204000,204000,204000,204000,204000,204000,204000,204000,204000,204000,204000,204000,204000,204000,204000,204000,204000,204000,204000,204000,204000,204000,204000,204000,204000,204000,204000,204000,204000,204000,,,,
588,Player485,204500,204500,204500,204500,204500,204500,204500,204500,204500,204500,204500,204500,204500,204500,204500,204500,204500,204500,204500,204500,204500,204500,204500,204500,204500,204500,204500,204500,204500,204500,204500,204500,,,,
589,Player486,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,,,,
590,Player487,205500,205500,205500,205500,205500,205500,205500,205500,205500,205500,205500,205500,205500,205500,205500,205500,205500,205500,205500,205500,205500,205500,205500,205500,205500,205500,205500,205500,205500,205500,205500,205500,,,,
591,Player488,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,,,,
592,Player489,206500,206500,206500,206500,206500,206500,206500,206500,206500,206500,206500,206500,206500,206500,206500,206500,206500,206500,206500,206500,206500,206500,206500,206500,206500,206500,206500,206500,206500,206500,206500,206500,,,,
593,Player490,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,,,,
594,Player491,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,,,,
595,Player492,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,,,,
596,Player493,208500,208500,208500,208500,208500,208500,208500,208500,208500,208500,208500,208500,208500,208500,208500,208500,208500,208500,208500,208500,208500,208500,208500,208500,208500,208500,208500,208500,208500,208500,208500,208500,,,,
597,Player494,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,,,,
598,Player495,209500,209500,209500,209500,209500,209500,209500,209500,209500,209500,209500,209500,209500,209500,209500,209500,209500,209500,209500,209500,209500,209500,209500,209500,209500,209500,209500,209500,209500,209500,209500,209500,,,,
599,Player496,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,,,,
600,Player497,210500,210500,210500,210500,210500,210500,210500,210500,210500,210500,210500,210500,210500,210500,210500,210500,210500,210500,210500,210500,210500,210500,210500,210500,210500,210500,210500,210500,210500,210500,210500,210500,,,,
601,Player498,211000,211000,211000,211000,211000,211000,211000,211000,211000,211000,211000,211000,211000,211000,211000,211000,211000,211000,211000,211000,211000,211000,211000,211000,211000,211000,211000,211000,211000,211000,211000,211000,,,,
602,Player499,211500,211500,211500,211500,211500,211500,211500,211500,211500,211500,211500,211500,211500,211500,211500,211500,211500,211500,211500,211500,211500,211500,211500,211500,211500,211500,211500,211500,211500,211500,211500,211500,,,,
603,Player500,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,,,,
604,Player501,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,,,,
605,Player502,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,,,,
606,Player503,213500,213500,213500,213500,213500,213500,213500,213500,213500,213500,213500,213500,213500,213500,213500,213500,213500,213500,213500,213500,213500,213500,213500,213500,213500,213500,213500,213500,213500,213500,213500,213500,,,,
607,Player504,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,,,,
608,Player505,214500,214500,214500,214500,214500,214500,214500,214500,214500,214500,214500,214500,214500,214500,214500,214500,214500,214500,214500,214500,214500,214500,214500,214500,214500,214500,214500,214500,214500,214500,214500,214500,,,,
609,Player506,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,,,,
610,Player507,215500,215500,215500,215500,215500,215500,215500,215500,215500,215500,215500,215500,215500,215500,215500,215500,215500,215500,215500,215500,215500,215500,215500,215500,215500,215500,215500,215500,215500,215500,215500,215500,,,,
611,Player508,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,,,,
